,code,date,zdt,preclose,open,high,low,close,vol,pre2_price,pre3_price,pre5_price,pre10_price,pre15_price,pre30_price,pre3_ema_price,pre5_ema_price,pre10_ema_price,pre15_ema_price,pre30_ema_price,pre3_ema_vol,pre5_ema_vol,pre10_ema_vol,pre15_ema_vol,pre30_ema_vol,dapan,pre0_lasheng_rat,pre1_lasheng_rat,pre3_lasheng_rat,dadan_rat
3705,SZ300229,2017-12-11,非涨跌停,53.9104,57.3998,59.3189,56.5274,58.0976,11704200.0,54.2245,55.5853,53.1079,48.2228,55.6551,45.4313,54.9049,54.07715185185186,52.093371076527475,52.916393473901294,50.61240034826172,6075815.0,5958442.592592594,4344539.608195659,4678112.999631682,3612235.3928682003,0.9788473649783901,1.5540944411236999,2.3372269712441796,2.03874117426896,0.06764649207713011
3706,SZ300229,2018-04-10,非涨跌停,51.4679,51.3283,56.6321,50.5258,54.8874,6575350.0,50.4909,52.9683,54.2943,47.2458,49.6534,42.9888,51.729600000000005,52.69564074074076,51.288864329165804,51.35341801155367,49.497383345659514,2578300.0,3883030.0,3585670.132935336,3359604.784930863,2795889.348762121,1.6578434015423997,6.4111037673496,,,0.036519085517407866
3707,SZ300230,2018-02-07,涨停,35.4634,39.0064,39.0064,38.1888,39.0064,4127290.0,37.6096,38.836,41.4592,42.1746,40.9141,46.6714,38.2228,39.492118518518524,40.748133321897676,40.85451045021222,42.824513910053774,1309010.0,1126964.5925925928,926136.1623649732,1112699.377736515,913292.4772448527,-1.8213686847530002,9.990393852065301,0.0,0.0,0.0
3708,SZ300230,2018-02-12,涨停,37.8481,37.8822,41.6295,37.8822,41.6295,2941510.0,40.5394,39.0064,37.6096,42.6174,41.4932,47.6253,39.7729,38.57864444444445,39.83907667157023,40.18396039941625,42.18711033819838,4357810.0,2969884.074074074,2103298.7721319697,1761167.4161702348,1404509.177398542,0.7755640763729599,2.6958719460826,3.03399536112909,3.034066876233795,0.0
3709,SZ300231,2017-12-14,涨停,107.561,106.715,118.309,105.615,118.309,8828470.0,102.991,93.5975,84.4578,88.7738,88.8584,94.4438,98.29425,92.75434074074074,90.35992057343402,89.67325116054724,91.15332863864165,2707133.0,1964654.3703703703,1266691.5206133586,1016902.362499431,719047.2545649081,-0.32085623019058,1.5988372093023,2.11015934224605,6.565372768211651,0.1040773124843794
3710,SZ300231,2018-03-22,涨停,90.4514,90.6397,99.4872,90.4514,99.4872,4664620.0,93.4633,92.5221,90.075,87.2505,79.2109,93.0898,92.9927,91.76217407407408,90.46039188200136,87.90274496866651,88.01784711896501,1442055.0,1624146.666666667,2031668.8164994658,1804597.0779500105,1854347.384016505,-0.5325283637188301,3.3235581622678,4.310724993462269,4.6095244861225595,0.09139023446257438
3711,SZ300234,2017-10-10,涨停,39.1587,38.721,43.0645,38.6536,43.0645,2137250.0,,,,,,,,,,,,,,,,,0.2551581358105,0.70866141732283,3.54266951448883,3.87388255283256,0.059279328640719206
3712,SZ300234,2018-03-27,非涨跌停,29.1249,29.1586,32.0542,28.8892,30.9431,4685630.0,29.0576,29.7647,28.6199,28.9229,27.7781,25.0845,29.41115,29.080051851851856,28.84974661333252,28.533291011635093,27.674475219640687,2249600.0,1949150.0000000002,1835636.4764810745,1413725.1278829454,1104519.6136051333,1.0507313667262,0.31612223393045,4.60183651964475,6.964041244054149,0.054274418768689714
3713,SZ300235,2018-01-08,非涨跌停,44.4908,44.6013,48.9473,44.012,46.1113,1284270.0,44.7118,43.9015,43.0913,42.1337,43.9015,49.2419,44.30665,43.800592592592594,42.98660017765206,43.12232872475136,44.55545694683595,724722.5,573880.7037037038,473513.8817822341,517446.1990666051,427610.81888949586,0.52273899904179,3.7470725995316,3.2035943386620302,3.1260148196550483,0.12981934273745652
3714,SZ300235,2018-01-16,涨停,42.0969,43.0913,46.2955,42.1705,46.2955,1589410.0,43.9015,44.7486,44.7486,43.0176,41.0288,49.2051,44.325050000000005,44.37894444444446,44.22928943509739,43.59213207650453,44.57436551460916,525801.5,635005.0370370371,586514.4374914888,568771.673000121,525990.2967184623,0.7654623033419301,0.72289156626506,1.04521227537062,1.2118023674604401,0.0
3715,SZ300235,2018-03-29,涨停,39.7766,40.108,43.7542,40.0712,43.7542,1087290.0,39.3714,37.7509,40.6973,40.8446,39.7766,35.6148,38.56115,39.00038518518519,39.599170533451314,39.83302932992026,38.79928737852363,512032.0,627394.2962962964,601661.5183083268,676405.4461593166,523580.5908105018,1.2247741241204,4.485488126649099,4.66169958039359,4.2231030891655195,0.034672841174880405
3716,SZ300235,2018-04-25,涨停,40.9183,40.329,45.0064,40.2922,45.0064,2947330.0,38.819,38.6717,41.5812,43.4964,43.9752,42.1705,38.74535,40.06302222222223,41.248830193876586,41.69593429344745,41.515661047503706,998293.5,1007779.7407407409,1130041.5351654498,1220155.446399774,1006039.3704648418,-0.35005610549559,2.6028547439127,3.9645568715723,4.64919567329314,0.055350560051259184
3717,SZ300236,2017-11-06,非涨跌停,63.7134,65.8204,70.0847,65.6365,67.5261,12154500.0,60.3688,61.8404,58.6966,56.7902,54.2483,,61.104600000000005,60.09134814814816,58.78823200863973,57.600989204468355,,4374810.0,4076094.074074075,3233651.3045625566,2915730.0776566807,,0.48728491842796995,2.219512195122,2.2439083893157057,3.082950997312926,0.1772753742414055
3718,SZ300236,2017-12-12,非涨跌停,57.7935,58.4457,63.5796,58.1949,61.0712,8584990.0,56.5226,56.2049,53.5125,58.9474,67.3589,59.633,56.363749999999996,55.52048888888889,56.390726982201386,58.483185672834985,59.89351120841124,3304600.0,3099607.777777778,3143291.0322703626,3729257.483560848,4309789.884536229,-1.2456218717981,1.3866666666667,4.0420184323388,3.8513459580692104,0.06942132749990448
3719,SZ300236,2018-02-26,涨停,42.4756,43.4789,46.7231,43.4789,46.7231,2256110.0,43.0943,41.606,42.7264,42.6595,46.7231,56.5561,42.35015,42.503433333333334,41.986724371580834,42.994797372339285,46.539273349711024,1333872.0,1879270.5185185187,1820005.4856007663,2018743.6358659694,2133980.2581838393,1.2328885407951,1.4892844169996002,1.5983753260905103,1.3869794249203202,0.04915923992356905
3720,SZ300236,2018-02-27,涨停,46.7231,51.3888,51.3888,50.8704,51.3888,4787920.0,42.4756,43.0943,42.0742,38.7297,46.9238,56.439,42.784949999999995,42.36532592592593,41.429928570990704,42.960847662416676,46.26017271718299,1552245.0,1487778.740740741,1938837.4753755494,1715934.878042039,1980751.4010329053,-1.1264504107733,9.9856836077309,0.0,0.0,0.0
3721,SZ300236,2018-04-24,涨停,60.7702,60.3856,66.8405,60.3856,66.8405,14370300.0,64.7335,61.7903,58.5461,56.0377,60.8705,57.9608,63.261900000000004,62.03061111111113,60.03196526101336,60.44123882115099,58.77821251496989,12194450.0,10598517.037037037,9123565.983674496,8914472.137854759,8208044.150713092,1.9854876708434999,0.47762694821518,2.34702515564158,2.4246159617661798,0.034552633150570465
3722,SZ300239,2017-10-11,非涨跌停,37.7074,41.4355,41.4888,38.666,38.7725,11442200.0,34.2988,,,,,,,,,,,,,,,,0.15654799839669,9.8870056497175,0.0,0.0,0.1260133179822287
3723,SZ300240,2017-10-17,涨停,36.3862,36.209,40.0354,36.1736,40.0354,5524850.0,37.5554,36.4571,36.0673,,,,37.006249999999994,36.80217777777778,,,,2222680.0,2093129.62962963,,,,-0.19029323924734,0.17730496453901,3.56868901586811,4.213935330082405,0.07327820234946779
3724,SZ300243,2018-01-09,非涨跌停,47.5244,47.6416,52.2925,47.0554,49.8693,1524260.0,46.4301,46.6646,45.8829,48.306,44.7886,44.2024,46.54735,46.20427037037038,46.61772660642131,46.08026928770955,45.96768348970156,332945.5,274640.96296296304,480844.25667696947,366529.6555154894,342288.9429093848,0.12963853725495,0.37593984962406,5.59745883696586,9.36037996955455,0.0
3725,SZ300243,2018-03-29,涨停,43.2253,47.5635,47.5635,47.5635,47.5635,306935.0,42.9127,41.1539,43.2253,42.9908,40.9194,39.0435,42.0333,42.180225925925924,42.287192114983085,42.08441516104395,41.282856464817975,234319.5,218640.85185185188,206994.23552678738,196182.59784476718,168931.07926112376,1.2247741241204,10.03616636528,0.0,0.0,0.0
3726,SZ300244,2018-03-01,涨停,189.125,187.992,208.019,187.236,208.019,1887340.0,190.542,188.37,180.434,178.356,200.084,227.574,189.45600000000002,185.4828888888889,182.0809313019412,185.39130406451926,197.52565273661756,839227.5,631553.2592592593,574728.364067015,593837.8604017548,586257.0739563244,0.44017195760703004,0.22768670309654002,0.273244789656904,0.501680051777326,0.06754528749822873
3727,SZ300245,2017-10-09,涨停,61.0281,62.7523,67.1229,61.3489,67.1229,8251580.0,,,,,,,,,,,,,,,,,0.75949336850463,1.8248175182481998,4.574817518248199,6.8636582058716,0.06130154100054733
3728,SZ300245,2017-12-11,涨停,53.4096,57.6198,58.7425,57.0184,58.7425,3209000.0,52.3671,52.2468,54.9333,54.6526,55.5348,59.745,52.30695,52.97002592592594,53.82010082740822,54.26907108834205,56.358524241422366,406782.5,502199.7037037038,489596.93662035384,553198.5977553058,839895.4084465067,0.9788473649783901,1.9485038274182,9.8313867103011,0.0,0.0926814005441715
3729,SZ300245,2018-03-01,非涨跌停,50.6028,50.7632,55.6551,50.4023,53.3294,1624150.0,50.282,50.282,48.3974,50.0414,49.5603,56.5773,50.282,49.598859259259264,49.34386634374714,49.237909529744094,51.416453352547315,533725.5,433587.70370370377,397090.82095255476,451543.70396874286,686778.1960650961,0.44017195760703004,5.0387596899225,,,0.0
3730,SZ300246,2018-03-16,非涨跌停,67.3037,68.7152,74.0266,67.9723,70.2009,1490510.0,65.6323,68.6037,68.678,64.1465,62.7351,73.7295,67.118,67.63524814814816,66.79726375719464,66.07888606631694,66.35054677673862,505522.0,518337.6666666667,483138.8892412812,442087.81001504685,444392.4386804295,-0.64507072381615,2.4201853759011,4.2021560257963,6.0629985726119,0.047560290265086305
3731,SZ300247,2017-10-19,涨停,43.8678,44.5581,48.2609,44.3071,48.2609,22052900.0,39.8513,39.9768,41.5458,,,,39.91405,40.6508925925926,,,,1830315.0,2111630.740740741,,,,-0.34366374770314,4.3419267299864,5.7174425484183,5.58007991105566,0.04141730752496719
3732,SZ300247,2018-02-27,涨停,29.308,32.2576,32.2576,32.2576,32.2576,1033520.0,29.4962,30.3121,34.1403,34.3914,34.2658,34.8934,29.90415,31.416148148148153,32.61095732793081,33.06614048668141,34.027820669884846,1406185.0,1207907.037037037,1245058.034766313,1112412.664767772,1222088.0136273173,-1.1264504107733,10.064239828694,0.0,0.0,0.0
3733,SZ300247,2018-03-20,涨停,33.7638,33.5755,37.1527,33.1362,37.1527,7194310.0,32.8852,33.7638,34.7051,33.2617,32.2576,34.2658,33.3245,33.71263703703704,33.58211816832492,33.36492894555438,33.45035834508808,1706810.0,2398514.8148148153,2100644.075061065,2013866.1777872504,1713110.6547859972,0.3472743174358,0.85178875638842,4.37912561705862,5.98565121049731,0.06191240302115263
3734,SZ300248,2018-03-09,涨停,78.3564,77.6339,86.1723,77.6339,86.1723,1099110.0,77.2398,78.9475,77.4369,71.0659,66.1399,86.8948,78.09365,78.00851851851853,76.33582247077273,74.21766020599361,77.7799926979475,636440.0,748355.6296296299,698812.7343315482,691235.1226313186,550056.4930526846,0.5704891670919,2.5,2.5,4.501333188646241,0.011833826299543704
3735,SZ300249,2017-12-22,涨停,39.1597,42.1563,43.0705,41.5976,43.0705,733852.0,40.2263,40.8358,41.8008,42.8674,47.8449,58.6633,40.53105,40.83578888888889,41.606020453669004,42.852814614933926,47.67313030380847,687664.0,587690.5925925926,462440.5725748866,536815.4674958608,467551.82005201944,-0.090786255639675,2.1686746987952,9.8210741799885,0.0,0.43446903774062146
3736,SZ300249,2018-03-29,涨停,42.7658,42.6642,47.0322,42.1563,47.0322,8593390.0,38.8549,35.2996,37.2296,36.8741,35.909,31.6426,37.07725,36.92862592592593,36.88374602379874,36.74842184598104,35.30229180451297,1156563.0,1026022.888888889,1012328.024419072,952984.7261431656,921757.1519468727,1.2247741241204,0.8714596949891099,5.78574540927481,7.171966859889,0.06970657829831281
3737,SZ300250,2018-03-01,涨停,54.8893,54.7649,60.3658,54.6404,60.3658,835378.0,54.35,53.1053,51.5703,50.5745,52.3171,64.8881,53.72765,52.89942962962964,51.939858492962074,51.81177276621922,55.67420817793431,593150.5,468038.1481481482,413749.5120774724,441462.76608042594,416321.12446444004,0.44017195760703004,3.1183557760453997,2.48455295914399,3.1975055533955294,0.0
3738,SZ300252,2018-02-27,涨停,46.9751,47.0888,51.6726,46.8236,51.6726,1841430.0,45.3083,45.4977,44.7021,41.9745,54.4381,62.5072,45.403000000000006,45.103411111111114,44.194598339537414,46.54797329545269,50.74639281453798,761742.5,853245.888888889,1097388.8362123983,1049182.0303005474,1053612.083176522,-1.1264504107733,0.8875739644970401,1.78309635255674,4.91495569106974,0.0
